Symbol,Min_halflife,Max_halflife,Tissue_rolfs
4931406C07RIK,69.99424552293652,170.14966076954815,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage
A1BG,14.78319766589399,55.9459637916217,Arytenoid Cartilage|Blood|Vocal Fold Mucosa
A1CF,40.87153538754533,58.69776060632542,Liver
A2M,35.18290365126302,49.379715436557504,Blood
AACS,38.57783111506579,70.69023215671062,Liver
AADAC,57.20412755214307,80.53217956837196,Liver
AADAT,111.6628563125164,151.93654519534863,Liver
AARS1,44.24696740016142,88.06062322502112,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver
AARSD1,36.535111531062505,87.00592224601832,Cricoid Cartilage|Laryngeal Muscle|Liver
AASS,84.039062053229,138.96526884503152,Cricoid Cartilage|Liver
ABAT,86.73374522125232,125.13564264657849,Liver
ABCA3,294.59062039007785,360.2324021963023,Cricoid Cartilage
ABCA6,52.29490532658099,73.78485023258489,Liver
ABCB11,65.90678789840491,99.61993133382695,Liver
ABCB1A,67.04091373192043,78.3844524027647,Liver
ABCB1B,67.04091373192043,78.3844524027647,Liver
ABCB4,23.148631210952217,65.21180844154719,Liver
ABCB7,76.95578634147549,298.60944773718506,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage
ABCC6,52.40197925231109,140.7167343380038,Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle
ABCD2,48.53546997356296,83.67132246976523,Liver
ABCD3,61.860524815693566,88.60469951230534,Liver
ABCE1,61.356295258498136,135.57891062297202,Cricoid Cartilage|Liver
ABCF1,51.461771742370374,68.09190100052673,Liver
ABHD14B,99.16268677537516,220.92340416240154,Arytenoid Cartilage|Cricoid Cartilage|Liver|Thyroid Cartilage|Vocal Fold Mucosa
ABHD6,35.86944743938652,54.607183342432705,Liver
ABLIM1,100.88866719290132,146.06666374077582,Arytenoid Cartilage
ABRACL,107.7221545906529,173.5217725402316,Cricoid Cartilage
ACAA1A,44.79382932155394,70.4477527459924,Liver
ACAA1B,34.318464194080775,64.58895920732527,Liver
ACAA2,108.1142024659694,410.04516473844745,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACACA,47.73056073634608,90.55322156354421,Cricoid Cartilage|Liver
ACACB,45.14146405470173,97.79279485884828,Cricoid Cartilage|Liver
ACAD10,116.74057777851753,349.2658478569566,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Thyroid Cartilage
ACAD11,41.205618580795274,61.78011784988564,Liver
ACAD8,128.9876121069916,318.99390859888246,Cricoid Cartilage|Liver
ACAD9,107.73610733397273,273.43084045751914,Cricoid Cartilage|Liver|Vocal Fold Mucosa
ACADL,117.01978287449879,775.1878999738524,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACADM,93.62636387571322,296.7980790978498,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACADS,120.94171089377473,343.9225208483858,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACADSB,51.106056137871875,193.8421385858212,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver
ACADVL,65.65448075395126,291.08543015641186,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACAN,312.93326436115024,1276.710079312255,Arytenoid Cartilage
ACAT1,99.72742841218833,353.19601557185985,Arytenoid Cartilage|Cricoid Cartilage|Laryngeal Muscle|Liver|Sternocleidomastoid Muscle|Thyroid Cartilage|Vocal Fold Mucosa
ACAT2,79.4817598348619,126.55406872146301,Liver
ACBD5,44.89901037337373,65.39638467426188,Liver
