ensembl_gene_id,symbol,accession,name_used,protac_target,publication
ENSG00000111142,METAP2,P50579,met-AP2,1,
ENSG00000169083,AR,P10275,AR,1,
ENSG00000088832,FKBP1A,P62942,"FKBP12, FKBP1A",1,
ENSG00000091831,ESR1,P03372,ER(alpha),1,
ENSG00000106546,AHR,P35869,AHR,1,
ENSG00000204256,BRD2,P25440,BRD2,1,
ENSG00000169925,BRD3,Q15059,BRD3,1,
ENSG00000141867,BRD4,O60885,BRD4,1,
ENSG00000137948,BRDT,Q58F21,BRDT,1,
ENSG00000097007,ABL1,P00519,c-ABL/BCR-ABL,1,
ENSG00000166949,SMAD3,P84022,smad3,1,
ENSG00000102882,MAPK3,P27361,"ERK1, MAPK3",1,
ENSG00000100030,MAPK1,P28482,"ERK2, MAPK1",1,
ENSG00000136807,CDK9,P50750,cdk9,1,
ENSG00000068903,SIRT2,Q8IXJ6,sirt2,1,
ENSG00000171094,ALK,Q9UM73,alk,1,
ENSG00000010671,BTK,Q06187,btk,1,
ENSG00000146648,EGFR,P00533,egfr,1,
ENSG00000114166,KAT2B,Q92831,"PCAF, KAT2B",1,
ENSG00000108773,KAT2A,Q92830,"GCN5, KAT2A",1,
ENSG00000113916,BCL6,P41182,bcl6,1,
ENSG00000122025,FLT3,P36888,flt-3,1,
ENSG00000135679,MDM2,Q00987,mdm2,1,
ENSG00000166164,BRD7,Q9NPI1,brd7,1,
ENSG00000028310,BRD9,Q9H8M2,brd9,1,
ENSG00000185811,IKZF1,Q13422,ikzf1,1,
ENSG00000161405,IKZF3,Q9UKT9,ikzf3,1,
ENSG00000094631,HDAC6,Q9UBN7,hdac6,1,
ENSG00000157764,BRAF,P15056,b-raf,1,
ENSG00000105810,CDK6,Q00534,cdk6,1,https://europepmc.org/article/MED/32184044
ENSG00000143384,MCL1,Q07820,"mcl1, mcl-1",1,
ENSG00000080503,SMARCA2,P51531,smarca2,1,
ENSG00000127616,SMARCA4,P51532,smarca4,1,
ENSG00000163939,PBRM1,Q86U86,pbrm1,1,
ENSG00000171791,BCL2,P10415,bcl-2,1,
ENSG00000104205,SGK3,Q96BR1,sgk3,1,
