ensembl_gene_id,druggability_tier,hgnc_names,chr_b37,start_b37,end_b37,strand,description,no_of_gwas_regions,small_mol_druggable,bio_druggable,adme_gene
ENSG00000000938,Tier 1,FGR,1,27938575,27961788,-1,feline Gardner-Rasheed sarcoma viral oncogene homolog [Source:HGNC Symbol;Acc:3697],0,Y,N,N
ENSG00000001626,Tier 1,CFTR,7,117105838,117356025,1,"cystic fibrosis transmembrane conductance regulator (ATP-binding cassette sub-family C, member 7) [Source:HGNC Symbol;Acc:1884]",0,Y,N,Y
ENSG00000001630,Tier 1,CYP51A1,7,91741465,91772266,-1,"cytochrome P450, family 51, subfamily A, polypeptide 1 [Source:HGNC Symbol;Acc:2649]",0,Y,N,Y
ENSG00000002549,Tier 1,LAP3,4,17578815,17609595,1,leucine aminopeptidase 3 [Source:HGNC Symbol;Acc:18449],0,Y,N,N
ENSG00000004468,Tier 1,CD38,4,15779898,15854853,1,CD38 molecule [Source:HGNC Symbol;Acc:1667],0,N,Y,N
ENSG00000004478,Tier 1,FKBP4,12,2904119,2914576,1,"FK506 binding protein 4, 59kDa [Source:HGNC Symbol;Acc:3720]",0,Y,N,N
ENSG00000004660,Tier 1,CAMKK1,17,3763609,3798185,-1,"calcium/calmodulin-dependent protein kinase kinase 1, alpha [Source:HGNC Symbol;Acc:1469]",0,Y,N,N
ENSG00000004700,Tier 1,RECQL,12,21621845,21654603,-1,RecQ protein-like (DNA helicase Q1-like) [Source:HGNC Symbol;Acc:9948],0,Y,N,N
ENSG00000004809,Tier 1,SLC22A16,6,110745890,110797844,-1,"solute carrier family 22 (organic cation/carnitine transporter), member 16 [Source:HGNC Symbol;Acc:20302]",0,Y,N,Y
ENSG00000004846,Tier 1,ABCB5,7,20654830,20816658,1,"ATP-binding cassette, sub-family B (MDR/TAP), member 5 [Source:HGNC Symbol;Acc:46]",0,Y,N,Y
ENSG00000004948,Tier 1,CALCR,7,93053799,93204042,-1,calcitonin receptor [Source:HGNC Symbol;Acc:1440],0,Y,Y,N
ENSG00000005381,Tier 1,MPO,17,56347217,56358296,-1,myeloperoxidase [Source:HGNC Symbol;Acc:7218],1,Y,Y,Y
ENSG00000005421,Tier 1,PON1,7,94926988,95025673,-1,paraoxonase 1 [Source:HGNC Symbol;Acc:9204],3,N,Y,Y
ENSG00000005471,Tier 1,ABCB4,7,87031013,87109751,-1,"ATP-binding cassette, sub-family B (MDR/TAP), member 4 [Source:HGNC Symbol;Acc:45]",0,N,Y,Y
ENSG00000005844,Tier 1,ITGAL,16,30483979,30534506,1,"integrin, alpha L (antigen CD11A (p180), lymphocyte function-associated antigen 1; alpha polypeptide) [Source:HGNC Symbol;Acc:6148]",1,Y,Y,N
ENSG00000005961,Tier 1,ITGA2B,17,42449548,42466873,-1,"integrin, alpha 2b (platelet glycoprotein IIb of IIb/IIIa complex, antigen CD41) [Source:HGNC Symbol;Acc:6138]",1,Y,Y,N
ENSG00000006071,Tier 1,ABCC8,11,17414432,17498449,-1,"ATP-binding cassette, sub-family C (CFTR/MRP), member 8 [Source:HGNC Symbol;Acc:59]",4,Y,Y,Y
ENSG00000006283,Tier 1,CACNA1G,17,48638429,48704835,1,"calcium channel, voltage-dependent, T type, alpha 1G subunit [Source:HGNC Symbol;Acc:1394]",1,Y,N,N
ENSG00000006327,Tier 1,TNFRSF12A,16,3068446,3072384,1,"tumor necrosis factor receptor superfamily, member 12A [Source:HGNC Symbol;Acc:18152]",0,N,Y,N
ENSG00000006432,Tier 1,MAP3K9,14,71189243,71276251,-1,mitogen-activated protein kinase kinase kinase 9 [Source:HGNC Symbol;Acc:6861],0,Y,N,N
ENSG00000006638,Tier 1,TBXA2R,19,3594504,3606838,-1,thromboxane A2 receptor [Source:HGNC Symbol;Acc:11608],0,Y,N,N
ENSG00000007047,Tier 1,MARK4,19,45582546,45808541,1,MAP/microtubule affinity-regulating kinase 4 [Source:HGNC Symbol;Acc:13538],2,Y,N,N
ENSG00000007171,Tier 1,NOS2,17,26083792,26127525,-1,"nitric oxide synthase 2, inducible [Source:HGNC Symbol;Acc:7873]",2,Y,N,Y
ENSG00000007216,Tier 1,SLC13A2,17,26800311,26824799,1,"solute carrier family 13 (sodium-dependent dicarboxylate transporter), member 2 [Source:HGNC Symbol;Acc:10917]",0,N,N,Y
ENSG00000007264,Tier 1,MATK,19,3777971,3802127,-1,megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:6906],1,Y,N,N
ENSG00000007312,Tier 1,CD79B,17,62006100,62009714,-1,"CD79b molecule, immunoglobulin-associated beta [Source:HGNC Symbol;Acc:1699]",4,N,Y,N
ENSG00000007314,Tier 1,SCN4A,17,62015914,62050278,-1,"sodium channel, voltage-gated, type IV, alpha subunit [Source:HGNC Symbol;Acc:10591]",3,Y,N,N
ENSG00000007402,Tier 1,CACNA2D2,3,50400233,50541675,-1,"calcium channel, voltage-dependent, alpha 2/delta subunit 2 [Source:HGNC Symbol;Acc:1400]",1,Y,N,N
ENSG00000007908,Tier 1,SELE,1,169691781,169733846,-1,selectin E [Source:HGNC Symbol;Acc:10718],1,Y,Y,N
ENSG00000007933,Tier 1,FMO3,1,171060018,171086959,1,flavin containing monooxygenase 3 [Source:HGNC Symbol;Acc:3771],1,N,N,Y
ENSG00000008018,Tier 1,PSMB1,6,170844205,170862429,-1,"proteasome (prosome, macropain) subunit, beta type, 1 [Source:HGNC Symbol;Acc:9537]",0,Y,N,N
ENSG00000008086,Tier 1,CDKL5,X,18443703,18671749,1,cyclin-dependent kinase-like 5 [Source:HGNC Symbol;Acc:11411],0,Y,N,N
ENSG00000008394,Tier 1,MGST1,12,16500076,16762193,1,microsomal glutathione S-transferase 1 [Source:HGNC Symbol;Acc:7061],0,N,N,Y
ENSG00000010310,Tier 1,GIPR,19,46171502,46186982,1,gastric inhibitory polypeptide receptor [Source:HGNC Symbol;Acc:4271],7,Y,Y,N
ENSG00000010322,Tier 1,NISCH,3,52489134,52527087,1,nischarin [Source:HGNC Symbol;Acc:18006],10,Y,N,N
ENSG00000010610,Tier 1,CD4,12,6896024,6929974,1,CD4 molecule [Source:HGNC Symbol;Acc:1678],0,N,Y,N
