protein_ref,symbol,annotation,number_of_ubiquitination_sites,4x_Btz_rep1-4 Sp. Counts,Btz_Epox Sp. Counts,Usp2cc Sp. Counts,Btz_timepoints Sp. Counts,Btz_CHX Sp. Counts,SILAC_Chase_GG Sp. Counts,MLN_timepoints Sp. Counts,Btz_MLN_1st Sp. Counts,Btz_MLN_2nd Sp. Counts,CST_GG_PullDowns Sp. Counts
IPI:IPI00000005.1,NRAS,GTPase NRas,2,7,11,0,8,2,0,13,13,1,0
IPI:IPI00000024.2,PCDH1,Isoform 1 of Protocadherin-1,6,18,13,0,23,19,6,37,19,0,0
IPI:IPI00000030.1,PPP2R5D,Isoform Delta-1 of Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit delta isoform,4,20,6,3,2,17,9,0,10,7,0
IPI:IPI00000057.1,COG2,Conserved oligomeric Golgi complex subunit 2,3,25,13,1,4,25,6,0,14,13,0
IPI:IPI00000075.3,TGFB1,Transforming growth factor beta-1,1,0,1,0,0,0,0,0,0,1,0
IPI:IPI00000104.1,RNGTT,Isoform 1 of mRNA-capping enzyme,2,4,10,1,0,9,2,0,7,0,0
IPI:IPI00000105.4,MVP,Major vault protein,4,47,28,11,12,19,5,0,22,25,0
IPI:IPI00000133.1,BOK,Bcl-2-related ovarian killer protein,1,2,0,0,0,0,0,0,0,0,0
IPI:IPI00000137.1,GNPTG,N-acetylglucosamine-1-phosphotransferase subunit gamma,1,1,1,0,0,1,0,0,1,0,0
IPI:IPI00000149.1,CASP8,Isoform 1 of Caspase-8,2,0,0,0,0,0,0,0,0,0,10
IPI:IPI00000155.6,N-PAC,Isoform 1 of Nuclear protein NP60,1,7,11,0,0,6,0,0,10,0,0
IPI:IPI00000162.5,NGDN,Isoform 1 of Neuroguidin,4,12,0,5,0,0,1,0,9,0,0
IPI:IPI00000163.6,CTNNAL1,Isoform 3 of Alpha-catulin,1,0,0,0,0,0,1,0,0,0,0
IPI:IPI00000190.1,CD81,CD81 antigen,3,156,96,14,108,84,37,56,101,74,0
IPI:IPI00000203.1,LRP6,Low-density lipoprotein receptor-related protein 6,2,1,2,0,0,1,1,0,1,1,0
IPI:IPI00000230.6,TPM1,tropomyosin 1 alpha chain isoform 2,1,2,0,0,0,0,5,0,0,0,0
IPI:IPI00000279.3,ZC3H15,Similar to Zinc finger CCCH domain-containing protein 15,2,3,0,0,0,0,0,0,0,0,0
IPI:IPI00000296.2,C3orf10,Isoform 1 of Probable protein BRICK1,1,4,3,0,0,5,0,0,3,0,0
IPI:IPI00000357.4,ARC,Activity-regulated cytoskeleton-associated protein,1,1,0,0,0,0,0,0,0,0,0
IPI:IPI00000425.2,ATP6V0A2,V-type proton ATPase 116 kDa subunit a isoform 2,4,15,13,0,8,11,2,2,7,0,0
IPI:IPI00000477.3,ARPC2,PNAS-139,4,23,15,3,3,4,10,0,7,4,0
IPI:IPI00000494.6,RPL5,60S ribosomal protein L5,7,27,19,0,6,16,18,5,28,7,2
IPI:IPI00000513.1,CDH1,"Cadherin 1, type 1, E-cadherin (Epithelial), isoform CRA_c",2,6,9,0,11,10,10,16,8,0,0
IPI:IPI00000581.6,OTUB1,"cDNA FLJ56307, highly similar to Ubiquitin thioesterase protein OTUB1",4,90,90,6,26,79,16,17,74,33,13
IPI:IPI00000606.5,TTC4,Tetratricopeptide repeat protein 4,1,15,8,0,6,13,2,0,8,0,0
IPI:IPI00000612.1,TMEM50A,Transmembrane protein 50A,1,0,0,0,0,0,0,0,0,0,18
IPI:IPI00000634.1,CCDC6,Coiled-coil domain-containing protein 6,1,0,0,0,0,0,0,1,1,0,0
IPI:IPI00000643.1,BAG2,BAG family molecular chaperone regulator 2,6,131,88,19,84,110,14,114,161,25,1
IPI:IPI00000684.4,UAP1,Isoform AGX2 of UDP-N-acetylhexosamine pyrophosphorylase,3,0,1,0,0,0,0,0,0,0,10
IPI:IPI00000685.1,CDK7,Cell division protein kinase 7,4,12,11,2,0,9,3,0,9,0,0
IPI:IPI00000712.5,NFE2L2,Isoform 1 of Nuclear factor erythroid 2-related factor 2,2,20,25,1,3,13,3,0,11,0,0
IPI:IPI00000725.4,ZNF451,Isoform 1 of Zinc finger protein 451,14,81,108,13,38,127,7,184,175,41,2
IPI:IPI00000733.4,UTP18,U3 small nucleolar RNA-associated protein 18 homolog,4,7,8,0,0,10,0,0,11,0,0
